ranking,RMSD < 2A,RMSD < 5A,avg RMSD,median RMSD,SymRMSD < 2A,SymRMSD < 5A,avg SymRMSD,median SymRMSD,avg tr_err,median tr_err,tr_err < 1A,num_samples,SymRMSD < 2A & PB valid
random,1.0,1.0,0.66974449148038,0.66974449148038,1.0,1.0,0.66974449148038,0.66974449148038,0.262456884555699,0.262456884555699,1.0,1,1.0
random_posebusters,1.0,1.0,0.66974449148038,0.66974449148038,1.0,1.0,0.66974449148038,0.66974449148038,0.262456884555699,0.262456884555699,1.0,1,1.0
random_fast,1.0,1.0,0.66974449148038,0.66974449148038,1.0,1.0,0.66974449148038,0.66974449148038,0.262456884555699,0.262456884555699,1.0,1,1.0
error_estimate_0,1.0,1.0,0.66974449148038,0.66974449148038,1.0,1.0,0.66974449148038,0.66974449148038,0.262456884555699,0.262456884555699,1.0,1,1.0
error_estimate_0_posebusters,1.0,1.0,0.66974449148038,0.66974449148038,1.0,1.0,0.66974449148038,0.66974449148038,0.262456884555699,0.262456884555699,1.0,1,1.0
error_estimate_0_fast,1.0,1.0,0.66974449148038,0.66974449148038,1.0,1.0,0.66974449148038,0.66974449148038,0.262456884555699,0.262456884555699,1.0,1,1.0
symm_rmsd,1.0,1.0,0.66974449148038,0.66974449148038,1.0,1.0,0.66974449148038,0.66974449148038,0.262456884555699,0.262456884555699,1.0,1,1.0
symm_rmsd_posebusters,1.0,1.0,0.66974449148038,0.66974449148038,1.0,1.0,0.66974449148038,0.66974449148038,0.262456884555699,0.262456884555699,1.0,1,1.0
symm_rmsd_fast,1.0,1.0,0.66974449148038,0.66974449148038,1.0,1.0,0.66974449148038,0.66974449148038,0.262456884555699,0.262456884555699,1.0,1,1.0
